num_cases,num_deaths,fatality_rate,f_rate,pop,D1,D2,MI,P,CHW,F,LE,PG,PR,PRG,PUG,PU,S,SU,SR,W,WU,WR,OD,ODU,ODR,chol_per_1000,death_by_chol_per_100k,temp_c,rain_mm
2369,10.0,0.42,0.422119037569,27962207.0,0.0,0.0,23.9,0.194,0.0,5.746,58.9708292683,2.7368859589,75.311,2.23886809451,4.27153804437,24.689,29.3,41.1,25.4,48.0,70.7,40.5,15.8,0.6,20.8,0.084721495696,0.0357625562245,14.4894683333,277.60699
3733,44.0,1.18,1.17867666756,28809167.0,47.5,53.3,0.0,0.234,0.0,5.506,59.3279512195,2.98397866646,74.926,2.4714504784,4.5313545079,25.074,29.9,42.1,25.8,49.8,72.6,42.1,14.7,0.0,19.7,0.129576811436,0.152729164297,14.0711933333,317.62138
12,0.0,0.1,0.0,29726803.0,0.0,0.0,0.0,0.225,0.0,5.272,59.6796097561,3.1355461644,74.532,2.60830953106,4.69466816987,25.468,30.5,43.1,26.2,51.6,74.5,43.7,13.8,0.0,18.5,0.000403676103347,0.0,13.309705,388.20056
3957,14.0,0.35,0.353803386404,30682500.0,0.0,0.0,0.0,0.266,0.0,5.05,60.0282682927,3.16433627387,74.129,2.62215909632,4.73433292256,25.871,31.1,44.1,26.6,53.4,76.3,45.4,12.9,0.0,17.4,0.128966022977,0.0456286156604,14.1895691667,326.10009
45481,4.0,0.0,0.00879488137904,31627506.0,0.0,0.0,0.0,0.0,0.0,4.843,60.3744634146,3.03347255255,73.718,2.47749336461,4.60963006739,26.282,31.8,45.1,27.0,55.2,78.2,47.0,12.8,0.0,17.4,1.43802043702,0.0126472191642,13.9663316667,297.09286
58064,8.0,0.01,0.013777900248,32526562.0,40.7,46.2,23.6,0.0,0.0,4.653,60.7171707317,2.80298628269,73.297,2.23025287345,4.39215196902,26.703,31.9,45.1,27.0,55.3,78.2,47.0,12.7,0.0,17.4,1.78512564593,0.0245952830797,14.1068333333,388.17625
1484,30.0,2.02,2.02156334232,21219954.0,0.0,0.0,114.2,0.0,0.0,6.416,50.6541707317,3.35369256341,59.903,2.03033147529,5.36394106353,40.097,46.2,85.0,20.2,47.1,71.9,30.6,36.4,5.8,56.9,0.0699341761061,0.141376366791,22.1178583333,950.91279
1810,110.0,6.08,6.0773480663,21942296.0,0.0,0.0,0.0,0.0,0.0,6.335,51.0593170732,3.34741329974,59.1,1.99784785152,5.33026651243,40.9,47.6,86.2,20.9,47.5,73.0,29.8,34.7,4.0,55.9,0.0824890886533,0.501314903418,21.54165,997.6962
1215,98.0,8.07,8.0658436214,22685632.0,0.0,0.0,0.0,0.0,0.0,6.251,51.464,3.33156741325,58.301,1.9703967039,5.26627989329,41.699,49.1,87.4,21.7,47.8,74.2,29.0,32.9,2.3,54.8,0.0535581287751,0.431991491355,21.51605,1004.51965
6655,86.0,1.29,1.29226145755,23448202.0,0.0,0.0,0.0,0.0,0.0,6.165,51.8661707317,3.30620456316,57.51,1.94016713133,5.18536160495,42.49,50.6,88.6,22.5,48.2,75.4,28.2,31.1,0.5,53.8,0.283817070494,0.366765861195,21.8475166667,948.13749
213,3.0,1.4,1.40845070423,24227524.0,0.0,0.0,0.0,0.0,0.0,6.08,52.2668780488,3.26955240572,56.726,1.89693163168,5.09787908903,43.274,51.1,88.6,22.5,48.6,75.4,28.2,30.7,0.5,53.8,0.00879165365805,0.012382610786,21.6696583333,993.67575
3,0.0,0.0,0.0,22031750.0,0.0,0.0,0.0,3.851,0.0,1.928,81.6951219512,1.55548958907,11.267,0.294270930118,1.71677876788,88.733,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.000136167122448,0.0,21.5738083333,658.5626
6,0.0,0.0,0.0,22340024.0,0.0,0.0,0.0,3.273,0.0,1.927,81.8951219512,1.38952731562,11.125,0.121224458218,1.5494270008,88.875,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.000268576255782,0.0,21.3632666667,594.1876
