title,company,location,salary,description,city,state
Data Scientist,NxT Level,"Seattle,  WA",142500,"We are looking for a passionate Data Scientists that are looking to deep dive into a Seattle, WA company that's growing exponentially....",Seattle, WA
Data Scientist,Central Intelligence Agency,"Washington,  DC",91066,"Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments....",Washington, DC
Data Scientist,Keyo,"Palo Alto,  CA",160000,"We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the...",Palo Alto, CA
Data Scientist,"Computer Enterprises, Inc. (CEI)","Philadelphia,  PA",160000,"Excel, SQL, SAS, R, and Tableau) through determination of appropriate analytic approach (sample data analysis, trending, regression, etc.)....",Philadelphia, PA
Software Engineer - Machine Learning,NxT Level,"Seattle,  WA",117500,"MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field. Exceptional project management skills....",Seattle, WA
"Principal Software Engineer, Data Science",MatchPointe Group,"Santa Clara,  CA",125000,"Scientific Programming experience with Python – Numpy / Pandas / SciKitlearn / Matplotlib. Principal Software Engineer, Data Science....",Santa Clara, CA
Data Scientist,Workbridge Associates,"Washington,  DC",125000,A leading provider of data and technology for companies that support and promote free enterprise is looking to bring on a Data Scientist with management...,Washington, DC
Data Scientist,Darwin Recruitment,"Boston,  MA",120000,"Data Scientist - Machine Learning - NLP - Python - R - Bayesian Statistics - Frequentist - Boston. Use machine learning nlp to a data rich environment,...",Boston, MA
"Principle Scientist, Data Science, System integration",MatchPointe Group,"Santa Clara,  CA",125000,"Principal Scientist, Data Science, System Integration. Develop a Bio-Physics understanding of the root mechanisms behind the data analysis....",Santa Clara, CA
Data Scientist,Platinum Solutions,"Houston,  TX",100000,The Data Scientist works with the advanced analytics team on data and business intelligence resources to build and deliver advanced analytics capabilities to...,Houston, TX
"Data Scientist II, Sequencing",Enterprise Select,"Pleasanton,  CA",120000,"The successful candidate must be excited about learning new concepts from chemistry, physics, algorithm development and electrical engineering and applying them...",Pleasanton, CA
Machine Learning Engineer,CTI Consulting,"Miami,  FL",120000,"Experience applying machine learning techniques to noisy, uncertain and/or dynamic data sets. Design and implementation of machine learning software solutions...",Miami, FL
Data Scientist,indify,"New York,  NY",130000,Indify data scientists contribute to all aspects of the platform and are a vital part of envisioning and creating the future of our product....,New York, NY
Data Scientist,ZP Group,"Raleigh,  NC",105000,"The Data Scientist will be in charge of data management, data organization, data modeling, and data analytics....",Raleigh, NC
Technical Data Analyst,Sharp Action LLC,"Somerville,  MA",72500,Put data models (from data scientist) into production. Automate data scrubbing for machine learning model input....,Somerville, MA
